00:11:12:797735,0
00:11:12:808698,0
00:11:12:820673,0
00:11:12:832705,0
00:11:12:844654,0
00:11:12:856669,0
00:11:12:868707,0
00:11:12:880697,0
00:11:12:892732,0
00:11:12:904798,0
00:11:12:916637,0
00:11:12:928613,0
00:11:12:940633,3
00:11:12:952625,61
00:11:12:963683,171
00:11:12:975605,392
00:11:12:987664,712
00:11:12:999645,1046
00:11:13:011650,1411
00:11:13:023709,1737
00:11:13:035721,1931
00:11:13:047773,1999
00:11:13:059841,1988
00:11:13:071884,1947
00:11:13:083947,1862
00:11:13:095989,1729
00:11:13:107802,1548
00:11:13:119824,1300
00:11:13:131808,1030
00:11:13:142768,776
00:11:13:154826,537
00:11:13:167248,393
00:11:13:178763,350
00:11:13:191013,394
00:11:13:203401,499
00:11:13:215423,689
00:11:13:226818,953
00:11:13:238831,1239
00:11:13:251196,1588
00:11:13:263152,1910
00:11:13:275162,2138
00:11:13:287208,2287
00:11:13:298775,2317
00:11:13:309987,2297
00:11:13:321821,2242
00:11:13:333927,2149
00:11:13:345715,2014
00:11:13:357817,1807
00:11:13:369972,1556
00:11:13:381878,1301
00:11:13:393848,1034
00:11:13:405917,821
00:11:13:417687,675
00:11:13:429779,642
00:11:13:441887,687
00:11:13:453946,801
00:11:13:465904,987
00:11:13:477875,1215
00:11:13:488906,1517
00:11:13:500783,1836
00:11:13:512733,2099
00:11:13:524888,2326
00:11:13:536798,2441
00:11:13:548850,2451
00:11:13:560724,2425
00:11:13:572871,2369
00:11:13:584914,2276
00:11:13:596910,2120
00:11:13:608727,1912
00:11:13:620647,1682
00:11:13:632717,1401
00:11:13:644704,1159
00:11:13:655964,938
00:11:13:667949,800
00:11:13:679838,775
00:11:13:691772,824
00:11:13:703778,946
00:11:13:716019,1112
00:11:13:727950,1357
00:11:13:739766,1657
00:11:13:752008,1933
00:11:13:763970,2201
00:11:13:775982,2409
00:11:13:787992,2492
00:11:13:799977,2494
00:11:13:811979,2473
00:11:13:822851,2422
00:11:13:835192,2324
00:11:13:847188,2160
00:11:13:858859,1967
00:11:13:871403,1711
00:11:13:883452,1455
00:11:13:895439,1192
00:11:13:907163,977
00:11:13:919106,851
00:11:13:931299,834
00:11:13:942944,890
00:11:13:955413,1001
00:11:13:967492,1187
00:11:13:978754,1436
00:11:13:990266,1707
00:11:14:001929,2003
00:11:14:013998,2265
00:11:14:025980,2444
00:11:14:037868,2526
00:11:14:049894,2523
